,Bug ID,,Test,Opt Status,Debug Status,Owner,Assignee,Fission Target,Comments
,Core::Audio/Video: Playback,,,,,,,,
,,dom/security/test/csp/test_reloadInFreshProcess.html,dom/security/test/csp/test_reloadInFreshProcess.html,skipped,skipped,ckerschb,ckershb,M4,"Crashes: @ mozilla::dom::ContentParent::CommonCreateWindow(mozilla::dom::PBrowserParent*, bool, unsigned int const&, bool const&, bool const&, bool const&, nsIURI*, nsTString<char> const&, float const&, unsigned long, nsTString<char16_t> const&, nsresult&, nsCOMPtr<nsIRemoteTab>&, bool*, int&, nsIPrincipal*, nsIReferrerInfo*, bool, nsIContentSecurityPolicy*)"
,,dom/security/test/csp/test_uir_top_nav.html,dom/security/test/csp/test_uir_top_nav.html,passes,passes,ckerschb,ckershb,M4,"Crashes: @ mozilla::dom::ContentParent::CommonCreateWindow(mozilla::dom::PBrowserParent*, bool, unsigned int const&, bool const&, bool const&, bool const&, nsIURI*, nsTString<char> const&, float const&, unsigned long, nsTString<char16_t> const&, nsresult&, nsCOMPtr<nsIRemoteTab>&, bool*, int&, nsIPrincipal*, nsIReferrerInfo*, bool, nsIContentSecurityPolicy*)"
,,dom/security/test/csp/test_uir_windowwatcher.html,dom/security/test/csp/test_uir_windowwatcher.html,passes,passes,ckerschb,ckershb,M4,"Crashes: @ mozilla::dom::ContentParent::CommonCreateWindow(mozilla::dom::PBrowserParent*, bool, unsigned int const&, bool const&, bool const&, bool const&, nsIURI*, nsTString<char> const&, float const&, unsigned long, nsTString<char16_t> const&, nsresult&, nsCOMPtr<nsIRemoteTab>&, bool*, int&, nsIPrincipal*, nsIReferrerInfo*, bool, nsIContentSecurityPolicy*)"
,,dom/security/test/csp/test_upgrade_insecure.html,dom/security/test/csp/test_upgrade_insecure.html,passes,passes,ckerschb,ckershb,M4,Passes since Bug 1584992
,,dom/security/test/csp/test_upgrade_insecure_navigation.html,dom/security/test/csp/test_upgrade_insecure_navigation.html,passes,passes,ckerschb,ckershb,M4,Passes since Bug 1584992
,,dom/security/test/general/browser_test_FTP_console_warning.js,dom/security/test/general/browser_test_FTP_console_warning.js,fails,fails,ckerschb,,M4,
,,dom/security/test/general/browser_test_referrer_loadInOtherProcess.js,dom/security/test/general/browser_test_referrer_loadInOtherProcess.js,skipped,skipped,ckerschb,,M4,Times out
1582247,1582247,dom/security/test/general/test_cache_split.html,dom/security/test/general/test_cache_split.html,skipped,skipped,ckerschb,,M4,
,,dom/security/test/general/test_same_site_cookies_about.html,dom/security/test/general/test_same_site_cookies_about.html,skipped,skipped,ckerschb,,M4,Fails intermittently under Fission
,,dom/security/test/general/test_same_site_cookies_iframe.html,dom/security/test/general/test_same_site_cookies_iframe.html,skipped,skipped,ckerschb,,M4,Fails intermittently under Fission
,,dom/security/test/general/test_same_site_cookies_laxByDefault.html,dom/security/test/general/test_same_site_cookies_laxByDefault.html,passes,skipped,ckerschb,,M4,
,,dom/security/test/general/test_same_site_cookies_toplevel_nav.html,dom/security/test/general/test_same_site_cookies_toplevel_nav.html,passes,skipped,ckerschb,,M4,"Crashes: @ mozilla::dom::ContentParent::CommonCreateWindow(mozilla::dom::PBrowserParent*, bool, unsigned int const&, bool const&, bool const&, bool const&, nsIURI*, nsTString<char> const&, float const&, unsigned long, nsTString<char16_t> const&, nsresult&, nsCOMPtr<nsIRemoteTab>&, bool*, int&, nsIPrincipal*, nsIReferrerInfo*, bool, nsIContentSecurityPolicy*)"
,,dom/security/test/general/test_same_site_cookies_toplevel_set_cookie.html,dom/security/test/general/test_same_site_cookies_toplevel_set_cookie.html,passes,passes,ckerschb,,M4,Got unskipped in bug 1582531
,,dom/security/test/mixedcontentblocker/test_frameNavigation.html,dom/security/test/mixedcontentblocker/test_frameNavigation.html,skipped,skipped,ckerschb,jkt,M4,
